# The pin_cap_tables contain the information anbout pin mux set and pad
# for some of the peripheral devices with many possible assignments.
# The pin_cap_table is a subset from table 7-1 of the data sheet.
# It contain the information about pin mux set and pad
# The eic and adc columns contain the decimal number for the respecitive
# quantity, the columns for sercom, tc and tcc have in each cell
# the device number in the upper nibble, and the pad number in the lower
# nibble. If a signal is not available, the cell in the csv table is left empty.
# The first column is the pin id, not the number of the board pin.
# Rows not starting with pa, pb, pc or pd are ignored.
# When editing the table with a spread sheet, take care to import the data as text.
Pin,EIC,ADC0,SERCOM1,SERCOM2,TCC1,TCC2
PA00,0,,,10,20,
PA01,1,,,11,21,
PA02,2,0,,,,
PA03,3,1,,,,
PB04,4,12,,,,
PB05,5,13,,,,
PB06,6,14,,,,
PB07,7,15,,,,
PB08,8,2,,,40,
PB09,9,3,,,41,
PA04,4,4,,00,00,
PA05,5,5,,01,01,
PA06,6,6,,02,10,
PA07,7,7,,03,11,
PA08,,16,00,20,00,12
PA09,9,17,01,21,01,13
PA10,10,,,,,
PA11,11,,23,,,
PB10,10,,,,50,04
PB11,11,,,,51,05
PB12,12,,,,40,06
PB13,13,,,,41,07
PB14,14,,,,50,
PB15,15,,,,,
PA12,12,,20,,,
PA13,13,,21,,20,07
PA14,14,,22,,30,04
PA15,15,,23,,31,05
PA16,0,,10,30,20,06
PA17,1,,11,31,21,07
PA18,2,,12,32,30,02
PA19,3,,13,33,31,03
PB16,0,,,,,
PB17,1,,,,,
PA20,4,,52,32,70,04
PA21,5,,53,33,71,07
PA22,6,,30,50,40,04
PA23,7,,31,51,41,05
PA24,12,,32,52,50,12
PA25,13,,33,53,51,13
PB22,6,,,52,70,
PB23,7,,,53,71,
PA27,15,,,,,
PA28,8,,,,,
PA30,10,,,12,10,
PA31,11,,,13,11,
PB30,14,,42,,,
PB31,15,,41,,,
PB00,0,,,,,
PB01,1,9,,53,71,
PB02,2,10,,50,60,
PB03,3,11,,51,61,
PC18,,,43,,,
PC19,,,40,,,
